"","Murder","Assault","UrbanPop","Rape","m.a.ratio"
"Alabama",13.2,236,58,21.2,0.0559322033898305
"Alaska",10,263,48,44.5,0.0380228136882129
"Arizona",8.1,294,80,31,0.0275510204081633
"Arkansas",8.8,190,50,19.5,0.0463157894736842
"California",9,276,91,40.6,0.0326086956521739
"Colorado",7.9,204,78,38.7,0.0387254901960784
"Connecticut",3.3,110,77,11.1,0.03
"Delaware",5.9,238,72,15.8,0.0247899159663866
"Florida",15.4,335,80,31.9,0.0459701492537313
"Georgia",17.4,211,60,25.8,0.0824644549763033
"Hawaii",5.3,46,83,20.2,0.115217391304348
"Idaho",2.6,120,54,14.2,0.0216666666666667
"Illinois",10.4,249,83,24,0.0417670682730924
"Indiana",7.2,113,65,21,0.063716814159292
"Iowa",2.2,56,57,11.3,0.0392857142857143
"Kansas",6,115,66,18,0.0521739130434783
"Kentucky",9.7,109,52,16.3,0.0889908256880734
"Louisiana",15.4,249,66,22.2,0.0618473895582329
"Maine",2.1,83,51,7.8,0.0253012048192771
"Maryland",11.3,300,67,27.8,0.0376666666666667
"Massachusetts",4.4,149,85,16.3,0.0295302013422819
"Michigan",12.1,255,74,35.1,0.0474509803921569
"Minnesota",2.7,72,66,14.9,0.0375
"Mississippi",16.1,259,44,17.1,0.0621621621621622
"Missouri",9,178,70,28.2,0.050561797752809
"Montana",6,109,53,16.4,0.055045871559633
"Nebraska",4.3,102,62,16.5,0.042156862745098
"Nevada",12.2,252,81,46,0.0484126984126984
"New Hampshire",2.1,57,56,9.5,0.0368421052631579
"New Jersey",7.4,159,89,18.8,0.0465408805031447
"New Mexico",11.4,285,70,32.1,0.04
"New York",11.1,254,86,26.1,0.0437007874015748
"North Carolina",13,337,45,16.1,0.0385756676557863
"North Dakota",0.8,45,44,7.3,0.0177777777777778
"Ohio",7.3,120,75,21.4,0.0608333333333333
"Oklahoma",6.6,151,68,20,0.0437086092715232
"Oregon",4.9,159,67,29.3,0.0308176100628931
"Pennsylvania",6.3,106,72,14.9,0.0594339622641509
"Rhode Island",3.4,174,87,8.3,0.0195402298850575
"South Carolina",14.4,279,48,22.5,0.0516129032258065
"South Dakota",3.8,86,45,12.8,0.0441860465116279
"Tennessee",13.2,188,59,26.9,0.0702127659574468
"Texas",12.7,201,80,25.5,0.06318407960199
"Utah",3.2,120,80,22.9,0.0266666666666667
"Vermont",2.2,48,32,11.2,0.0458333333333333
"Virginia",8.5,156,63,20.7,0.0544871794871795
"Washington",4,145,73,26.2,0.0275862068965517
"West Virginia",5.7,81,39,9.3,0.0703703703703704
"Wisconsin",2.6,53,66,10.8,0.0490566037735849
"Wyoming",6.8,161,60,15.6,0.0422360248447205
